No,Name,Pos,Ht,Wt,Class,Hometown,State,Team,UID
29,DuWayne Johnsona,CB,6-2,180,FR,Washington,DC,VT,2035
30,Eron Cartera,LB,6-2,230,FR,Palatka,FL,VT,2036
30,Jordan Jeffersona,WR,5-10,168,FR,Goochland,VA,VT,2037
31,Brandon Facysona,CB,6-2,191,JR,Newnan,GA,VT,2038
32,Steven Peoplesa,FB,5-9,218,SO,Galax,VA,VT,2039
33,Deshawn McCleasea,RB,5-9,177,FR,Chesapeake,VA,VT,2040
34,Travon McMilliana,RB,6-0,200,SO,Woodbridge,VA,VT,2041
35,Erikk Banksa,CB,5-10,173,JR,Coeburn,VA,VT,2042
35,Michael Santamariaa,PK,5-8,168,SO,Athens,GA,VT,2043
36,Adonis Alexandera,CB,6-3,197,SO,Charlotte,NC,VT,2044
36,Alden Carpentera,LB,6-1,192,JR,Leesburg,VA,VT,2045
37,Johnathan Galantea,LB,5-9,210,SR,Blacksburg,VA,VT,2046
39,Sean Daniela,WR,5-10,175,FR,Chesapeake,VA,VT,2047
39,Tyrone Thorntona,DB,5-10,190,FR,Boston,MA,VT,2048
40,Emmanuel Belmara,LB,6-2,230,FR,Suwanee,GA,VT,2049
41,Kevin Henrya,WR,6-0,170,FR,Greensboro,NC,VT,2050
41,John Jenningsa,DB,5-11,165,SO,Clifton,VA,VT,2051
41,Trey Skeensa,FB,6-0,215,FR,Wytheville,VA,VT,2052
42,Elisha Boyda,CB,6-0,175,SO,Newport News,VA,VT,2053
42,Marshawn Williamsa,RB,5-11,239,SO,Hampton,VA,VT,2054
43,Seth Dooleya,DE,6-6,239,JR,Salem,VA,VT,2055
44,Tre Hubbarda,LB,6-0,230,FR,Virginia Beach,VA,VT,2056
45,Sam Rogersa,FB,5-10,227,SR,Mechanicsville,VA,VT,2057
46,Joey Slyea,PK,6-1,207,JR,Stafford,VA,VT,2058
47,Darius Fullwooda,DE,6-4,262,FR,College Park,MD,VT,2059
48,Daniel Griffitha,LB,6-1,225,FR,Suffolk,VA,VT,2060
48,D.J. Reida,RB,6-1,240,SO,Chester,VA,VT,2061
49,Tremaine Edmundsa,LB,6-5,236,SO,Danville,VA,VT,2062
50,Patrick Kearnsa,OL,6-5,280,FR,Adairsville,GA,VT,2063
51,Hundley McCurrya,LS,5-11,190,FR,Summerville,SC,VT,2064
52,Austin Cannona,OL,6-3,315,FR,Mechanicsville,VA,VT,2065
52,Clay Deana,DL,6-2,255,FR,Purcellville,VA,VT,2066
53,Wayne Muttera,P,5-9,160,SR,Grundy,VA,VT,2067
53,Trent Younga,LB,5-10,212,SO,Richmond,VA,VT,2068
54,Andrew Motuapuakaa,LB,6-0,235,JR,Virginia Beach,VA,VT,2069
55,Jarrod Hewitta,DL,6-1,290,FR,Venice,FL,VT,2070
56,Sean Huelskampa,LB,6-1,207,JR,Centreville,VA,VT,2071
56,T.J. Jacksona,OL,6-3,330,FR,Cumberland,VA,VT,2072
57,Wyatt Tellera,OL,6-5,304,JR,Bealeton,VA,VT,2073
58,Zack Tresera,LB,6-4,221,FR,Blacksburg,VA,VT,2074
60,Woody Barona,DT,6-1,275,SR,Nashville,TN,VT,2075
61,Kyle Chunga,OL,6-4,290,JR,Ponte Vedra Beach,FL,VT,2076
61,Joe Koshutaa,LB,6-2,240,FR,Vienna,VA,VT,2077
62,D'Andre Plantina,OL,6-5,290,FR,Norcross,GA,VT,2078
63,Daniel Baileya,OL,6-4,296,FR,Abingdon,VA,VT,2079
64,Eric Galloa,OL,6-2,297,JR,Richboro,PA,VT,2080
65,Matt Christa,OL,6-4,274,FR,Sterling,VA,VT,2081
66,Billy Mitchella,OL,6-3,284,SO,Westwood,NJ,VT,2082
67,Parker Osterloha,OL,6-8,336,JR,Williamsburg,VA,VT,2083
68,Connor Kisha,OL,6-2,280,FR,Oceanside,CA,VT,2084
69,Yosuah Nijmana,OL,6-8,298,SO,Maplewood,NJ,VT,2085
70,Kevin Kisha,OL,6-2,280,FR,Oceanside,CA,VT,2086
71,Jonathan McLaughlina,OL,6-5,300,SR,Mauldin,SC,VT,2087
72,Augie Contea,OL,6-6,303,SR,Richmond,VA,VT,2088
74,Braxton Pfaffa,OL,6-5,295,SO,Lynchburg,VA,VT,2089
75,Zachariah Hoyta,OL,6-5,286,FR,Salem,VA,VT,2090
76,Jarrett Hopplea,OL,6-6,280,FR,Suffolk,VA,VT,2091
77,Demetri Moorea,OL,6-5,305,JR,Fairborn,OH,VT,2092
79,Tyrell Smitha,OL,6-3,292,FR,North Brunswick,NJ,VT,2093
80,Casey Harmana,TE,6-4,240,FR,Swords Creek,VA,VT,2094
80,Colt Pettita,OL,6-4,298,SO,Deshler,OH,VT,2095
81,Samuel Denmarka,WR,6-0,182,FR,Hanahan,SC,VT,2096
82,Xavier Burkea,TE,6-2,270,FR,Lawrenceville,VA,VT,2097
83,Eric Kumaha,WR,6-2,203,FR,Woodbridge,VA,VT,2098
85,Chris Cunninghama,TE,6-2,242,FR,Jacksonville,FL,VT,2099
86,C.J. Carrolla,WR,5-7,165,SO,Olney,MD,VT,2100
87,Bodhie Longa,WR,6-3,200,FR,Richmond,VA,VT,2101
87,Colton Taylora,LS,6-1,212,JR,Salem,VA,VT,2102
88,Divine Deabloa,WR,6-3,210,FR,Winston-salem,NC,VT,2103
89,Wright Bynuma,LS,6-4,230,FR,Columbia,SC,VT,2104
89,Devin Wilsona,WR,6-4,190,JR,Mckees Rocks,PA,VT,2105
90,Mitchell Ludwiga,P,5-11,200,JR,Abingdon,VA,VT,2106
90,Dalton Roea,DT,6-1,235,JR,Williamsburg,VA,VT,2107
91,Steve Sobczaka,DT,6-1,300,SO,Milford,VA,VT,2108
92,Matt Reinharta,LB,6-2,225,FR,Shoemakersville,PA,VT,2109
92,Robert Warfela,PK,5-10,164,SR,--,--,VT,2110
93,Brian Johnsona,P,6-1,161,FR,Washington,DC,VT,2111
94,Trevon Hilla,DE,6-5,234,FR,Virginia Beach,VA,VT,2112
95,Chaska Moona,LS,6-0,249,FR,Wake Forest,NC,VT,2113
96,Jimmie Taylora,DE,6-3,225,FR,Jacksonville,NC,VT,2114
97,Tim Settlea,DT,6-3,344,FR,Manassas,VA,VT,2115
98,Ricky Walkera,DT,6-2,288,SO,Hampton,VA,VT,2116
99,Vinny Mihotaa,DL,6-5,270,SO,Fredericksburg,VA,VT,2117
